PCI IDs ambiguous GPU-name entries (target scope only)
Generated: 2026-06-28 07:29:20 +09:00
Source base file: gpu_ambiguous_all_entries.txt
Filter scope: NVIDIA GTX 2xx series+ / AMD HD 3000 series+
Total entries: 180

1002:1309|Kaveri [Radeon R6/R7 Graphics]
1002:15d8|Picasso/Raven 2 [Radeon Vega Series / Radeon Vega Mobile Series]
1002:15dd|Raven Ridge [Radeon Vega Series / Radeon Vega Mobile Series]
1002:1636|Renoir [Radeon Vega Series / Radeon Vega Mobile Series]
1002:1638|Cezanne [Radeon Vega Series / Radeon Vega Mobile Series]
1002:1714|BeaverCreek HDMI Audio [Radeon HD 6500D and 6400G-6600G series]
1002:6600|Mars [Radeon HD 8670A/8670M/8750M / R7 M370]
1002:6604|Opal XT [Radeon R7 M265/M365X/M465]
1002:6607|Mars LE [Radeon HD 8530M / R5 M240]
1002:6609|Oland GL [FirePro W2100 / Barco MXRT 2600]
1002:6610|Oland XT [Radeon HD 8670 / R5 340X OEM / R7 250/350/350X OEM]
1002:6611|Oland [Radeon HD 8570 / R5 430 OEM / R7 240/340/430 / Radeon 520 OEM]
1002:6613|Oland PRO [Radeon R7 240/340 / Radeon 520]
1002:6646|Bonaire XT [Radeon R9 M280X / FirePro W6150M]
1002:6647|Saturn PRO/XT [Radeon R9 M270X/M280X]
1002:664d|Bonaire [FirePro W5100 / Barco MXRT-5600]
1002:6658|Bonaire XTX [Radeon R7 260X/360]
1002:665c|Bonaire XT [Radeon HD 7790/8770 / R7 360 / R9 260/360 OEM]
1002:665d|Bonaire [Radeon R7 200 Series]
1002:665f|Tobago PRO [Radeon R7 360 / R9 360 OEM]
1002:6660|Sun XT [Radeon HD 8670A/8670M/8690M / R5 M330 / M430 / Radeon 520 Mobile]
1002:6663|Sun PRO [Radeon HD 8570A/8570M]
1002:6665|Jet PRO [Radeon R5 M230 / R7 M260DX / Radeon 520/610 Mobile]
1002:666f|Sun LE [Radeon HD 8550M / R5 M230]
1002:66a0|Vega 20 [Radeon Pro/Radeon Instinct]
1002:66a1|Vega 20 [Radeon Pro VII/Radeon Instinct MI50]
1002:6720|Blackcomb [Radeon HD 6970M/6990M]
1002:6740|Whistler [Radeon HD 6730M/6770M/7690M XT]
1002:6741|Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]
1002:6742|Whistler LE [Radeon HD 6610M/7610M]
1002:6750|Onega [Radeon HD 6650A/7650A]
1002:6751|Turks [Radeon HD 7650A/7670A]
1002:6758|Turks XT [Radeon HD 6670/7670]
1002:6759|Turks PRO [Radeon HD 6570/7570/8550 / R5 230]
1002:675b|Turks [Radeon HD 7600 Series]
1002:675f|Turks LE [Radeon HD 5570/6510/7510/8510]
1002:6760|Seymour [Radeon HD 6400M/7400M Series]
1002:6764|Seymour [Radeon HD 6400M Series]
1002:6765|Seymour [Radeon HD 6400M Series]
1002:6770|Caicos [Radeon HD 6450A/7450A]
1002:6771|Caicos XTX [Radeon HD 8490 / R5 235X OEM]
1002:6778|Caicos XT [Radeon HD 7470/8470 / R5 235/310 OEM]
1002:6779|Caicos [Radeon HD 6450/7450/8450 / R5 230 OEM]
1002:6784|Tahiti [FirePro Series Graphics Adapter]
1002:6788|Tahiti [FirePro Series Graphics Adapter]
1002:678a|Tahiti PRO GL [FirePro Series]
1002:6798|Tahiti XT [Radeon HD 7970/8970 OEM / R9 280X]
1002:679a|Tahiti PRO [Radeon HD 7950/8950 OEM / R9 280]
1002:679b|Malta [Radeon HD 7990/8990 OEM]
1002:67b0|Hawaii XT / Grenada XT [Radeon R9 290X/390X]
1002:67b1|Hawaii PRO [Radeon R9 290/390]
1002:67df|Ellesmere [Radeon RX 470/480/570/570X/580/580X/590]
1002:67ef|Baffin [Radeon RX 460/560D / Pro 450/455/460/555/555X/560/560X]
1002:67ff|Baffin [Radeon RX 550 640SP / RX 560/560X]
1002:6810|Curacao XT / Trinidad XT [Radeon R7 370 / R9 270X/370X]
1002:6811|Curacao PRO [Radeon R7 370 / R9 270/370 OEM]
1002:6819|Pitcairn PRO [Radeon HD 7850 / R7 265 / R9 270 1024SP]
1002:6820|Venus XTX [Radeon HD 8890M / R9 M275X/M375X]
1002:6821|Venus XT [Radeon HD 8870M / R9 M270X/M370X]
1002:6823|Venus PRO [Radeon HD 8850M / R9 M265X]
1002:6826|Chelsea LP [Radeon HD 7700M Series]
1002:6827|Heathrow PRO [Radeon HD 7850M/8850M]
1002:682b|Cape Verde PRO / Venus LE / Tropo PRO-L [Radeon HD 8830M / R7 250 / R7 M465X]
1002:6837|Cape Verde LE [Radeon HD 7730/8730]
1002:683d|Cape Verde XT [Radeon HD 7770/8760 / R7 250X]
1002:683f|Cape Verde PRO [Radeon HD 7750/8740 / R7 250E]
1002:6840|Thames [Radeon HD 7500M/7600M Series]
1002:6841|Thames [Radeon HD 7550M/7570M/7650M]
1002:6842|Thames LE [Radeon HD 7000M Series]
1002:6860|Vega 10 [Instinct MI25/MI25x2/V340/V320]
1002:6864|Vega 10 [Radeon Pro V340/Instinct MI25x2]
1002:686c|Vega 10 [Instinct MI25 MxGPU/MI25x2 MxGPU/V340 MxGPU/V340L MxGPU]
